source,category,concept,label,docs_total,docs_recent,docs_prior,share_recent_pct,share_prior_pct,growth_ratio,delta_pp,slope_pp_per_year,first_year_ge3,peak_year,recent_years,prior_years
ieee,Advanced packaging,UCIe,UCIe / die-to-die standards,162,108,16,0.15604629031573172,0.030389193104549257,4.891696066121583,0.12565709721118246,0.016333205979415576,2020.0,2025,2023-2025,2020-2022
ieee,Transistor architecture,BSPDN,Backside power delivery,186,119,27,0.1719398939590007,0.05128176336392687,3.268816515133586,0.12065813059507383,0.018246120187391524,2019.0,2025,2023-2025,2020-2022
ieee,Advanced packaging,HybridBonding,Hybrid bonding / SoIC,1034,545,215,0.7873257782957905,0.4075380727776959,1.9275843095409115,0.37978770551809465,0.06602906006042464,2014.0,2024,2023-2025,2020-2022
ieee,Advanced packaging,Chiplet,Chiplet / disaggregation,2015,1093,437,1.5786683036941525,0.8300048366680016,1.8999395626449247,0.7486634670261508,0.16128093371160296,2014.0,2025,2023-2025,2020-2022
ieee,Design & compute,Photonic-computing,Photonic / optical computing,277,157,65,0.22684507018120262,0.12345609698723135,1.8247666667337972,0.10338897319397126,0.023113791603437715,2017.0,2023,2023-2025,2020-2022
ieee,Design & compute,RISCV,RISC-V,848,473,199,0.6834249566605658,0.37796558923783136,1.8041262994297986,0.30545936742273444,0.07484677710500084,2017.0,2025,2023-2025,2020-2022
ieee,Transistor architecture,CFET,CFET (complementary FET),405,205,88,0.2961989769881945,0.1671405620750209,1.7634790668366336,0.12905841491317357,0.026147272240296393,2014.0,2025,2023-2025,2020-2022
ieee,Advanced packaging,CoWoS,CoWoS,87,46,20,0.06646416069003389,0.03798649138068657,1.7139798605410401,0.028477669309347316,0.0063784602674819965,2019.0,2025,2023-2025,2020-2022
ieee,Advanced packaging,GlassSubstrate,Glass core / glass substrate,361,141,63,0.20372710124553864,0.1196574478491627,1.6916081409857402,0.08406965339637594,-0.014427003379633879,2014.0,2014,2023-2025,2020-2022
ieee,Design & compute,DTCO,DTCO / STCO,339,171,82,0.24707329299990857,0.15574461466081493,1.5793351700374214,0.09132867833909364,0.02313773313303501,2015.0,2025,2023-2025,2020-2022
ieee,Design & compute,MLforEDA,ML for EDA / chip design,58,32,16,0.04623593787132792,0.030389193104549257,1.4907857625109702,0.01584674476677866,0.005564795227953115,2020.0,2025,2023-2025,2020-2022
ieee,Materials & power devices,Ga2O3,Ga2O3 / ultra-wide bandgap,1215,559,287,0.8076840396897595,0.5451061513128523,1.4800278972593044,0.2625778883769072,0.0712752706842149,2015.0,2025,2023-2025,2020-2022
ieee,Interconnect & BEOL,RuMo,Ru / Mo interconnect (post-Cu),49,26,14,0.03756669952045393,0.026590543966480598,1.3852652229788518,0.010976155553973334,0.003802354550499802,2018.0,2024,2023-2025,2020-2022
ieee,Advanced packaging,HBM,High-bandwidth memory (HBM),936,437,240,0.6314095265553219,0.4560278290251423,1.3829903864700848,0.17538169753017963,0.05926526842809112,2014.0,2025,2023-2025,2020-2022
ieee,Materials & power devices,Cryo,Cryogenic CMOS / quantum control,408,203,114,0.2933092308712365,0.21652300086991347,1.3515493658764564,0.07678623000132304,0.03275366257420538,2017.0,2025,2023-2025,2020-2022
ieee,Memory,CIM,Compute-in-memory / PIM,4544,2253,1285,3.254764397721544,2.4406320712091123,1.3333149894898542,0.8141323265124316,0.34126559818709096,2014.0,2025,2023-2025,2020-2022
ieee,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",5974,2276,1312,3.2880398242583153,2.491913834573039,1.3192404317728283,0.7961259896852764,-0.032397575189830545,2014.0,2016,2023-2025,2020-2022
ieee,Design & compute,AIAccel,AI accelerator / NPU,1298,636,383,0.9189392651926424,0.7276122491513609,1.262267279826067,0.19132701604128144,0.10349276213883682,2016.0,2025,2023-2025,2020-2022
ieee,Materials & power devices,OxideSemi,Oxide semiconductor (IGZO),1629,615,377,0.8885969309645835,0.7160453625259419,1.2403410339824896,0.1725515684386416,0.008715699607106418,2014.0,2025,2023-2025,2020-2022
ieee,Design & compute,Neuromorphic,Neuromorphic hardware,5940,2525,1572,3.6488101782299363,2.9866688915607913,1.2215580300611686,0.662141286669145,0.24530668541369408,2014.0,2025,2023-2025,2020-2022
ieee,Advanced packaging,CPO,Silicon photonics / co-packaged optics,3309,1240,782,1.7920905031620853,1.4854237589503676,1.2061870400653385,0.3066667442117177,0.02928792024643898,2014.0,2025,2023-2025,2020-2022
ieee,Materials & power devices,CNT,Carbon nanotube transistor,675,269,173,0.38867085273085034,0.32858315044293884,1.1818181199645594,0.06008770228791149,0.010774678197181932,2014.0,2025,2023-2025,2020-2022
ieee,Memory,FeRAM,FeRAM / ferroelectric memory,507,226,152,0.3265413112162534,0.28869733449321794,1.1302285334083226,0.037843976723035466,0.02778484961856542,2014.0,2022,2023-2025,2020-2022
ieee,Materials & power devices,GaN,GaN power / RF,14248,5226,3602,7.550935501072411,6.840588374588347,1.103814162000107,0.7103471264840637,0.0023745476407405824,2014.0,2016,2023-2025,2020-2022
ieee,Transistor architecture,GAA,GAA / nanosheet,1904,784,543,1.133011657536891,1.0320549843218734,1.0976413293574943,0.10095667321501756,0.07013083924163324,2014.0,2022,2023-2025,2020-2022
