source,category,concept,label,docs_total,docs_recent,docs_prior,share_recent_pct,share_prior_pct,growth_ratio,delta_pp,slope_pp_per_year,first_year_ge3,peak_year,recent_years,prior_years
arxiv,Design & compute,RISCV,RISC-V,189,112,37,0.5572057402726053,0.18951831855127158,2.8890598000020686,0.36768742172133373,0.059409127605521535,2019.0,2025,2023-2025,2020-2022
arxiv,Advanced packaging,HBM,High-bandwidth memory (HBM),223,107,36,0.5323304840104354,0.18444742300084566,2.835121093432376,0.3478830610095897,0.054072340447858164,2018.0,2025,2023-2025,2020-2022
arxiv,Materials & power devices,OxideSemi,Oxide semiconductor (IGZO),78,28,9,0.13930143506815132,0.04609905045841741,2.819606810001965,0.0932023846097339,0.0014832952718911224,2014.0,2025,2023-2025,2020-2022
arxiv,Design & compute,DTCO,DTCO / STCO,29,15,5,0.07462576878650964,0.02561058358800967,2.59488703273985,0.04901518519849997,0.007149378355534159,2021.0,2025,2023-2025,2020-2022
arxiv,Design & compute,Photonic-computing,Photonic / optical computing,322,167,73,0.8308335591564739,0.3739145203849412,2.205474600725522,0.4569190387715327,0.07486789363521199,2014.0,2023,2023-2025,2020-2022
arxiv,Advanced packaging,3DIC,"2.5D / 3D integration (TSV, interposer)",428,187,85,0.9322251036810784,0.4353799209961644,2.1279066613711306,0.49684518268491396,0.06950060897643232,2015.0,2025,2023-2025,2020-2022
arxiv,Memory,3DNAND,3D NAND,106,44,21,0.21890225510709493,0.10756445106964062,1.988030838313092,0.11133780403745432,0.011676336719292295,2015.0,2025,2023-2025,2020-2022
arxiv,Interconnect & BEOL,Airgap,Air-gap / low-k dielectric,4,1,0,0.004975051252433976,0.0,1.9712881464292733,0.004975051252433976,-0.0017181980662367587,,2015,2023-2025,2020-2022
arxiv,Advanced packaging,CoWoS,CoWoS,2,1,0,0.004975051252433976,0.0,1.9712881464292733,0.004975051252433976,0.0005091280555300532,,2025,2023-2025,2020-2022
arxiv,Memory,CIM,Compute-in-memory / PIM,1043,528,261,2.6250857933467873,1.3366675786254005,1.9602236618697744,1.2884182147213867,0.2688408219418573,2015.0,2024,2023-2025,2020-2022
arxiv,Design & compute,AIAccel,AI accelerator / NPU,403,208,103,1.034810660506267,0.5276804642473514,1.9518163281800496,0.5071301962589156,0.1031402831381451,2014.0,2025,2023-2025,2020-2022
arxiv,Design & compute,Neuromorphic,Neuromorphic hardware,3525,1652,872,8.219282174146171,4.4678175280954635,1.838702272766189,3.7514646460507075,0.7293338619619782,2014.0,2024,2023-2025,2020-2022
arxiv,Materials & power devices,SiC,SiC power,362,150,82,0.7450139250519879,0.41832327232655,1.7715059867882386,0.32669065272543796,0.035580838588331214,2014.0,2024,2023-2025,2020-2022
arxiv,Advanced packaging,CPO,Silicon photonics / co-packaged optics,1324,557,310,2.7722478093937846,1.5879074036237757,1.7434516376797657,1.1843404057700089,0.15760186044637106,2014.0,2025,2023-2025,2020-2022
arxiv,Lithography & patterning,EUV,EUV lithography,149,57,32,0.2835779213887366,0.1639077349632619,1.7079825559535933,0.11967018642547472,0.012742536777487292,2014.0,2025,2023-2025,2020-2022
arxiv,Memory,DRAM,DRAM (incl. 3D / vertical channel),939,356,215,1.7711182458664954,1.101255094284416,1.6054563894852836,0.6698631515820794,0.12847838304375325,2014.0,2025,2023-2025,2020-2022
arxiv,Lithography & patterning,Resist,Photoresist (CAR / metal-oxide / stochastics),132,44,27,0.21890225510709493,0.13624830468821145,1.5846622624234792,0.08265395041888349,-0.0067355071908290895,2014.0,2014,2023-2025,2020-2022
arxiv,Lithography & patterning,HighNA,High-NA EUV,26,10,6,0.049750512524339756,0.030732700305611607,1.5304116377561046,0.01901781221872815,0.0023811248302834775,2022.0,2023,2023-2025,2020-2022
