source,concept,synonym,year,docs
all,3DIC,silicon interposer,2019,52
all,3DIC,monolithic 3D,2019,51
all,3DIC,3D integrated circuit,2019,30
all,3DIC,M3D,2019,26
all,3DIC,3D stacking,2019,24
all,3DIC,die stacking,2019,20
all,3DIC,2.5-D,2019,15
all,3DIC,three dimensional integration,2019,13
all,3DIC,wafer stacking,2019,13
all,3DIC,3D heterogeneous integration,2019,11
all,3DIC,sequential 3D,2019,3
all,3DIC,TSV,2020,251
all,3DIC,through silicon via,2020,214
all,3DIC,interposer,2020,167
all,3DIC,heterogeneous integration,2020,160
all,3DIC,3D integration,2020,114
all,3DIC,2.5D,2020,106
all,3DIC,3D IC,2020,102
all,3DIC,silicon interposer,2020,50
all,3DIC,monolithic 3D,2020,48
all,3DIC,3D integrated circuit,2020,34
all,3DIC,M3D,2020,33
all,3DIC,3D stacking,2020,30
all,3DIC,2.5-D,2020,20
all,3DIC,three dimensional integration,2020,15
all,3DIC,die stacking,2020,13
all,3DIC,3D heterogeneous integration,2020,11
all,3DIC,wafer stacking,2020,10
all,3DIC,sequential 3D,2020,2
all,3DIC,TSV,2021,225
all,3DIC,heterogeneous integration,2021,198
all,3DIC,through silicon via,2021,180
all,3DIC,interposer,2021,147
all,3DIC,3D integration,2021,121
all,3DIC,2.5D,2021,104
all,3DIC,3D IC,2021,74
all,3DIC,monolithic 3D,2021,58
all,3DIC,silicon interposer,2021,42
all,3DIC,M3D,2021,31
all,3DIC,3D stacking,2021,30
all,3DIC,3D integrated circuit,2021,20
all,3DIC,3D heterogeneous integration,2021,18
all,3DIC,three dimensional integration,2021,18
all,3DIC,2.5-D,2021,13
all,3DIC,die stacking,2021,12
all,3DIC,wafer stacking,2021,10
all,3DIC,sequential 3D,2021,2
all,3DIC,TSV,2022,196
all,3DIC,through silicon via,2022,181
all,3DIC,heterogeneous integration,2022,169
all,3DIC,interposer,2022,165
all,3DIC,2.5D,2022,113
all,3DIC,3D integration,2022,94
all,3DIC,3D IC,2022,72
all,3DIC,monolithic 3D,2022,55
all,3DIC,silicon interposer,2022,44
all,3DIC,M3D,2022,36
all,3DIC,3D stacking,2022,22
all,3DIC,3D integrated circuit,2022,21
all,3DIC,3D heterogeneous integration,2022,15
all,3DIC,three dimensional integration,2022,15
all,3DIC,2.5-D,2022,9
all,3DIC,die stacking,2022,8
all,3DIC,wafer stacking,2022,7
all,3DIC,sequential 3D,2022,2
all,3DIC,heterogeneous integration,2023,297
all,3DIC,TSV,2023,262
all,3DIC,through silicon via,2023,224
all,3DIC,interposer,2023,220
all,3DIC,2.5D,2023,146
all,3DIC,3D integration,2023,146
all,3DIC,3D IC,2023,101
all,3DIC,monolithic 3D,2023,67
all,3DIC,M3D,2023,53
all,3DIC,silicon interposer,2023,51
all,3DIC,3D stacking,2023,37
all,3DIC,3D integrated circuit,2023,33
all,3DIC,three dimensional integration,2023,27
all,3DIC,die stacking,2023,17
all,3DIC,2.5-D,2023,16
all,3DIC,3D heterogeneous integration,2023,16
all,3DIC,wafer stacking,2023,10
all,3DIC,sequential 3D,2023,6
all,3DIC,heterogeneous integration,2024,106
all,3DIC,TSV,2024,97
all,3DIC,through silicon via,2024,86
all,3DIC,interposer,2024,85
all,3DIC,2.5D,2024,79
all,3DIC,3D integration,2024,65
all,3DIC,3D IC,2024,50
all,3DIC,M3D,2024,27
all,3DIC,monolithic 3D,2024,26
all,3DIC,silicon interposer,2024,24
all,3DIC,3D stacking,2024,22
all,3DIC,3D integrated circuit,2024,15
all,3DIC,2.5-D,2024,13
all,3DIC,3D heterogeneous integration,2024,8
all,3DIC,three dimensional integration,2024,6
all,3DIC,die stacking,2024,3
all,3DIC,wafer stacking,2024,3
all,3DIC,sequential 3D,2024,1
all,3DIC,heterogeneous integration,2025,408
all,3DIC,TSV,2025,320
all,3DIC,through silicon via,2025,295
all,3DIC,interposer,2025,294
all,3DIC,2.5D,2025,260
all,3DIC,3D integration,2025,257
all,3DIC,3D IC,2025,145
all,3DIC,monolithic 3D,2025,122
all,3DIC,silicon interposer,2025,88
all,3DIC,M3D,2025,71
all,3DIC,3D integrated circuit,2025,60
all,3DIC,3D stacking,2025,55
all,3DIC,2.5-D,2025,54
all,3DIC,three dimensional integration,2025,29
all,3DIC,3D heterogeneous integration,2025,29
all,3DIC,die stacking,2025,19
all,3DIC,wafer stacking,2025,7
all,3DIC,sequential 3D,2025,3
all,3DIC,heterogeneous integration,2026,363
all,3DIC,interposer,2026,237
all,3DIC,2.5D,2026,222
all,3DIC,TSV,2026,206
all,3DIC,through silicon via,2026,189
all,3DIC,3D integration,2026,146
all,3DIC,monolithic 3D,2026,100
all,3DIC,3D IC,2026,85
all,3DIC,silicon interposer,2026,69
all,3DIC,M3D,2026,66
all,3DIC,3D integrated circuit,2026,50
all,3DIC,three dimensional integration,2026,48
all,3DIC,3D stacking,2026,37
all,3DIC,2.5-D,2026,32
all,3DIC,3D heterogeneous integration,2026,31
all,3DIC,die stacking,2026,12
all,3DIC,wafer stacking,2026,6
all,3DIC,sequential 3D,2026,2
all,3DNAND,NAND flash,2014,220
all,3DNAND,3D NAND,2014,9
all,3DNAND,vertical NAND,2014,8
all,3DNAND,3-D NAND,2014,4
